Frame,X,Y
0,208.11892700195312,222.17587280273438
0,240.82752990722656,150.28550720214844
0,193.01739501953125,181.70217895507812
0,212.82028198242188,165.14768981933594
0,251.27047729492188,257.3771667480469
0,243.6430206298828,284.48699951171875
0,208.899169921875,342.7206726074219
0,173.4308319091797,192.2108917236328
0,182.8101806640625,164.30091857910156
0,185.5603790283203,260.1169738769531
0,240.07333374023438,177.6266632080078
0,248.30389404296875,231.08311462402344
0,234.7142791748047,325.22222900390625
0,180.01673889160156,216.63636779785156
0,183.05575561523438,279.8699035644531
0,252.76055908203125,190.50704956054688
0,187.13934326171875,304.192626953125
0,183.1774139404297,241.0766143798828
0,243.5036163330078,209.0036163330078
1,241.1081085205078,154.2655029296875
1,208.3890838623047,224.28521728515625
1,193.79904174804688,184.7799072265625
1,209.1724090576172,340.74139404296875
1,243.0326690673828,284.1582946777344
1,239.53273010253906,180.9036407470703
1,187.14999389648438,260.977783203125
1,212.86691284179688,168.92205810546875
1,249.95249938964844,258.0174865722656
1,234.36363220214844,324.8121337890625
1,174.6319580078125,193.94189453125
1,183.55673217773438,168.01319885253906
1,247.4843292236328,232.03134155273438
1,187.8137664794922,303.91497802734375
1,181.15774536132812,218.0619659423828
1,183.2391357421875,242.1478271484375
1,251.54945373535156,193.41209411621094
1,183.72796630859375,280.1072692871094
2,186.26654052734375,263.2060546875
2,240.69451904296875,286.342041015625
2,237.96905517578125,159.91043090820312
2,208.3125,340.9125061035156
2,206.8292694091797,228.06753540039062
2,192.88702392578125,188.70913696289062
2,236.62034606933594,184.92367553710938
2,247.0,260.5402526855469
2,182.05555725097656,171.90579223632812
2,211.01023864746094,173.65573120117188
2,243.9065399169922,234.44236755371094
2,173.1820526123047,198.09762573242188
2,186.4979248046875,305.69293212890625
2,232.30690002441406,324.3482666015625
2,179.1709747314453,221.4774169921875
2,182.2591094970703,281.9352111816406
2,248.18496704101562,197.16763305664062
2,181.8543701171875,244.4466094970703
2,239.3900909423828,213.27554321289062
3,238.0973663330078,286.95263671875
3,235.03607177734375,162.00656127929688
3,207.94969177246094,175.85714721679688
3,244.1497344970703,261.3957214355469
3,207.29684448242188,342.8757019042969
3,184.1146240234375,265.1838073730469
3,204.06517028808594,230.0335235595703
3,189.7474822998047,190.4065704345703
3,178.9417266845703,173.36131286621094
3,170.33177185058594,199.7552947998047
3,241.6392364501953,236.1835479736328
3,176.1482696533203,223.5394287109375
3,230.70260620117188,325.1078186035156
3,179.22137451171875,284.0992431640625
3,184.68637084960938,307.30908203125
3,233.40042114257812,187.57203674316406
3,178.1497802734375,247.2202606201172
3,245.30177307128906,198.84024047851562
4,240.1717529296875,159.2969512939453
4,181.88258361816406,169.81996154785156
